id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6ziqWx82jgkQYhyIALoraH,Transmission - Joris Voorn Remix,Joris Voorn,62,2022-10-28,0.711,0.838,2,-7.985,1,0.292,0.927,0.146,0.223,124.002,224274,4
62piGIpUTsY8HA7tdjfLS8,Electric,SANDHAUS,49,2022-11-25,0.746,0.749,11,-10.482,0,0.00567,0.366,0.228,0.0342,123.988,178064,4
2QlUkqLbDDxDpiMcW7OJrZ,Dreaming - Casper Cole Remix Edit,Casper Cole,17,2022-10-07,0.544,0.872,5,-7.444,0,0.00794,0.877,0.118,0.182,123.033,265366,4
77FpsyFq4vGchrHovA8EyU,Lissu,Wassu,27,2023-01-13,0.753,0.915,4,-8.609,0,0.00104,0.883,0.0608,0.104,120.008,233662,4
3YDBOFmBEk19AS4t4gwpXq,Arrival,Einmusik,31,2022-11-11,0.685,0.81,2,-8.179,1,0.0002,0.899,0.09,0.0869,123.994,435322,4
19JfseCw15TUMEdclMy864,Monday Blues - Pandhora Remix Radio Edit,Pandhora,40,2019-11-01,0.681,0.557,6,-11.394,1,0.68,0.88,0.0742,0.434,121.938,257374,4
1fjXNwOpGjAXen5afbOMaK,Take Your Time,Zazou,30,2021-12-30,0.748,0.63,8,-10.607,1,0.00195,0.701,0.676,0.202,120.001,488000,4
784tN30E6wKPaJnBSf47Y1,Walking Moments - Day Mix,ADHM,12,2022-04-15,0.657,0.582,1,-11.911,1,0.00288,0.77,0.126,0.527,122.005,388000,4
0l9NuhFscO4RKhLFHeap9W,Bohn - Original Mix,Lucefora,17,2021-03-12,0.753,0.829,7,-8.997,0,0.000134,0.849,0.101,0.591,123.988,441221,4
1jdrbrxtpcYLGb6y41mrCY,Play - Radio Edit,Birch (UK),8,2023-01-20,0.66,0.683,4,-15.468,0,0.0199,0.883,0.28,0.343,121.995,257776,4
3ci8RfAsik7iP8g14eOXZO,Not Alone - Radio Edit,Jordan Arts,27,2022-12-16,0.519,0.589,7,-10.52,1,0.00984,0.546,0.118,0.112,122.046,223548,4
