id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6ziqWx82jgkQYhyIALoraH,0.711,0.838,2,-7.985,1,0.0423,0.292,0.927,0.146,0.223,124.002,224274,4
62piGIpUTsY8HA7tdjfLS8,0.746,0.749,11,-10.482,0,0.0454,0.00567,0.366,0.228,0.0342,123.988,178064,4
2QlUkqLbDDxDpiMcW7OJrZ,0.544,0.872,5,-7.444,0,0.0339,0.00794,0.877,0.118,0.182,123.033,265366,4
77FpsyFq4vGchrHovA8EyU,0.753,0.915,4,-8.609,0,0.0396,0.00104,0.883,0.0608,0.104,120.008,233662,4
3YDBOFmBEk19AS4t4gwpXq,0.685,0.81,2,-8.179,1,0.0366,0.0002,0.899,0.09,0.0869,123.994,435322,4
19JfseCw15TUMEdclMy864,0.681,0.557,6,-11.394,1,0.0482,0.68,0.88,0.0742,0.434,121.938,257374,4
3mWeRqLriMGLlRmnQJYANb,0.708,0.65,10,-10.817,0,0.0427,0.0178,0.0487,0.134,0.145,122.004,243954,4
1fjXNwOpGjAXen5afbOMaK,0.748,0.63,8,-10.607,1,0.04,0.00195,0.701,0.676,0.202,120.001,488000,4
784tN30E6wKPaJnBSf47Y1,0.657,0.582,1,-11.911,1,0.0437,0.00288,0.77,0.126,0.527,122.005,388000,4
0l9NuhFscO4RKhLFHeap9W,0.753,0.829,7,-8.997,0,0.0416,0.000134,0.849,0.101,0.591,123.988,441221,4
1jdrbrxtpcYLGb6y41mrCY,0.66,0.683,4,-15.468,0,0.057,0.0199,0.883,0.28,0.343,121.995,257776,4
3ci8RfAsik7iP8g14eOXZO,0.519,0.589,7,-10.52,1,0.0592,0.00984,0.546,0.118,0.112,122.046,223548,4
1MvLmHeLkaNgUScgbUVnWJ,0.598,0.561,11,-11.421,0,0.0511,0.0229,0.557,0.109,0.0385,182.988,222606,3
08FKcAXOTGZUpddiYadWBn,0.769,0.913,4,-7.126,0,0.0512,0.00436,0.917,0.0659,0.0956,122.012,240369,4
3GVcpgVWK1kz85sF1gGmhY,0.721,0.714,4,-9.161,0,0.085,0.313,0.537,0.12,0.482,120.997,440617,4
5ozh0yNMGfYcDA7EUp94TO,0.807,0.75,2,-10.797,1,0.0442,0.042,0.871,0.0946,0.0394,120.006,450408,4
0fISUIxD3ZbawV34STdYAz,0.809,0.831,7,-8.201,1,0.0487,0.00161,0.872,0.0329,0.699,122.002,377705,4
3a0agPVmZyN39DnjkKFoJa,0.665,0.701,10,-11.401,0,0.0375,0.0015,0.602,0.111,0.146,122.003,460405,4
39URqC0Wd7jE34dMeEKbCf,0.623,0.673,6,-8.424,0,0.0301,0.000454,0.748,0.0902,0.189,123.02,394146,4
0Z4Tr9BV7lO7xz5bPtF0Pd,0.629,0.777,10,-8.294,0,0.0388,0.0222,0.528,0.0839,0.126,124.987,270300,4
6QuDP1bcBb3bBB6TO31YlT,0.737,0.537,6,-11.016,1,0.0355,0.113,0.853,0.107,0.193,122.993,234621,4
